"統計期","公私立別","性別","高等學校/總計[人]","高等學校/大學校院[人]","高等學校/專科學校[人]","中等學校/總計[人]","中等學校/高級中學[人]","中等學校/職業學校[人]","中等學校/國民中學[人]","國民小學[人]","幼兒園[人]","特殊教育[人]"
"88學年","總計","總計",49643,35993,13650,83739,22903,22879,37957,34002,19954,312
"88學年","總計","男",0,0,0,0,0,0,0,17706,0,0
"88學年","總計","女",0,0,0,0,0,0,0,16296,0,0
"88學年","國立","總計",19414,17352,2062,1363,1123,0,240,278,100,0
"88學年","國立","男",0,0,0,0,0,0,0,0,0,0
"88學年","國立","女",0,0,0,0,0,0,0,0,0,0
"88學年","市立","總計",1221,1105,116,56101,14910,6630,34561,32086,9626,312
"88學年","市立","男",0,0,0,0,0,0,0,0,0,0
"88學年","市立","女",0,0,0,0,0,0,0,0,0,0
"88學年","私立","總計",29008,17536,11472,26275,6870,16249,3156,1638,10228,0
"88學年","私立","男",0,0,0,0,0,0,0,0,0,0
"88學年","私立","女",0,0,0,0,0,0,0,0,0,0
"89學年","總計","總計",53390,39137,14253,78345,23309,21441,33595,34230,19431,345
"89學年","總計","男",24128,18329,5799,38875,11200,10376,17299,18088,10214,218
"89學年","總計","女",29262,20808,8454,39470,12109,11065,16296,16142,9217,127
"89學年","國立","總計",20722,18680,2042,1307,1063,0,244,272,108,0
"89學年","國立","男",0,0,0,946,837,0,109,139,56,0
"89學年","國立","女",0,0,0,361,226,0,135,133,52,0
"89學年","市立","總計",1299,1207,92,52141,15309,6528,30304,32329,9040,345
"89學年","市立","男",0,0,0,26785,7149,4048,15588,17025,4689,218
"89學年","市立","女",0,0,0,25356,8160,2480,14716,15304,4351,127
"89學年","私立","總計",31369,19250,12119,24897,6937,14913,3047,1629,10283,0
"89學年","私立","男",0,0,0,11144,3214,6328,1602,924,5469,0
"89學年","私立","女",0,0,0,13753,3723,8585,1445,705,4814,0
"90學年","總計","總計",58192,43615,14577,76328,24165,19544,32619,34620,18702,288
"90學年","總計","男",26348,20758,5590,38208,11772,9457,16979,18314,9757,174
"90學年","總計","女",31844,22857,8987,38120,12393,10087,15640,16306,8945,114
"90學年","國立","總計",21936,19937,1999,1320,1089,0,231,274,95,0
